id,name,name_cn,type,description,founded_year,country
C001,Intel,英特尔,Company,全球最大CPU制造商之一，x86处理器的发明者，1968年创立于美国加州,1968,USA
C002,AMD,超威半导体,Company,美国半导体公司，生产CPU与GPU，Ryzen和Radeon系列知名,1969,USA
C003,NVIDIA,英伟达,Company,全球领先的GPU制造商，深度学习加速卡CUDA生态系统的缔造者,1993,USA
C004,TSMC,台积电,Company,全球最大的专业晶圆代工厂，掌握最先进制程工艺,1987,Taiwan
C005,Samsung Semiconductor,三星半导体,Company,韩国三星集团旗下半导体部门，同时从事设计与代工,1969,South Korea
C006,Qualcomm,高通,Company,全球最大移动处理器设计公司，Snapdragon骁龙系列知名,1985,USA
C007,Apple Silicon,苹果芯片,Company,苹果公司自研芯片部门，设计M系列和A系列芯片,1977,USA
C008,ARM Holdings,ARM,Company,全球最广泛使用的处理器架构授权公司，RISC架构领导者,1990,UK
C009,MediaTek,联发科,Company,台湾半导体公司，移动芯片领域重要厂商，天玑系列知名,1997,Taiwan
C010,HiSilicon,华为海思,Company,华为旗下半导体设计子公司，设计麒麟系列移动芯片,2004,China
C011,SK Hynix,SK海力士,Company,韩国半导体内存制造商，DRAM和NAND Flash主要供应商,1983,South Korea
C012,Micron Technology,美光科技,Company,美国内存与存储芯片制造商，DRAM和NAND Flash主要供应商,1978,USA
C013,Broadcom,博通,Company,美国无线通讯、宽带与企业应用芯片领导厂商,1961,USA
C014,Texas Instruments,德州仪器,Company,美国半导体公司，嵌入式处理器和模拟芯片领域领导者,1951,USA
C015,ASML,阿斯麦,Company,荷兰光刻机制造商，全球唯一EUV光刻机供应商,1984,Netherlands
C016,SMIC,中芯国际,Company,中国大陆领先晶圆代工厂，提供成熟制程与N+1等先进工艺,2000,China
CH001,Intel Core i9-14900K,酷睿i9-14900K,Chip,Intel第14代桌面旗舰处理器，24核心(8P+16E)，最高睿频5.6GHz,2023,USA
CH002,Intel Core i7-13700K,酷睿i7-13700K,Chip,Intel第13代桌面高性能处理器，16核心(8P+8E)，最高睿频5.4GHz,2022,USA
CH003,Intel Xeon W9-3595X,至强W9-3595X,Chip,Intel工作站旗舰处理器，60核心，面向专业工作站市场,2023,USA
CH004,Intel Meteor Lake,Meteor Lake,Chip,Intel第14代移动处理器，首款采用Intel 4工艺的产品，集成GPU和NPU,2023,USA
CH005,Intel Arc A770,Arc A770,Chip,Intel独立显卡，采用Xe-HPG架构，面向主流游戏市场,2022,USA
CH006,AMD Ryzen 9 7950X,锐龙9 7950X,Chip,AMD Zen4架构桌面旗舰处理器，16核心32线程，最高睿频5.7GHz,2022,USA
CH007,AMD Ryzen 5 7600X,锐龙5 7600X,Chip,AMD Zen4架构桌面主流处理器，6核心12线程，高性价比,2022,USA
CH008,AMD EPYC 9654,霄龙9654,Chip,AMD服务器旗舰处理器，96核心192线程，面向数据中心市场,2022,USA
CH009,AMD Ryzen 9 5950X,锐龙9 5950X,Chip,AMD Zen3架构桌面旗舰处理器，16核心32线程,2020,USA
CH010,AMD Radeon RX 7900 XTX,镭龙RX 7900 XTX,Chip,AMD RDNA3架构旗舰显卡，面向高端游戏市场,2022,USA
CH011,NVIDIA H100,H100,Chip,NVIDIA Hopper架构数据中心AI加速卡，AI训练旗舰产品，80GB HBM3,2022,USA
CH012,NVIDIA RTX 4090,GeForce RTX 4090,Chip,NVIDIA Ada Lovelace架构消费级旗舰显卡，16384个CUDA核心,2022,USA
CH013,NVIDIA A100,A100,Chip,NVIDIA Ampere架构数据中心GPU，前一代AI训练主力产品,2020,USA
CH014,NVIDIA RTX 3090,GeForce RTX 3090,Chip,NVIDIA Ampere架构消费级旗舰显卡，24GB GDDR6X,2020,USA
CH015,Apple M3 Ultra,M3 Ultra,Chip,苹果M3 Ultra芯片，双die封装，76核GPU，面向Mac Pro,2024,USA
CH016,Apple M2,M2,Chip,苹果第二代M系列芯片，8核CPU+10核GPU，面向MacBook Air/Pro,2022,USA
CH017,Apple A17 Pro,A17 Pro,Chip,苹果iPhone 15 Pro系列搭载芯片，6核CPU，6核GPU，集成NPU,2023,USA
CH018,Apple A16 Bionic,A16 Bionic,Chip,苹果iPhone 14 Pro系列搭载芯片，4nm制程，6核CPU,2022,USA
CH019,Qualcomm Snapdragon 8 Gen 3,骁龙8 Gen 3,Chip,高通旗舰移动SoC，八核CPU，Adreno 750 GPU，集成AI引擎,2023,USA
CH020,Qualcomm Snapdragon 8 Gen 2,骁龙8 Gen 2,Chip,高通旗舰移动SoC，采用4nm工艺，集成X70调制解调器,2022,USA
CH021,Qualcomm Snapdragon 888,骁龙888,Chip,高通第一款5nm旗舰移动SoC，首款集成5G基带的旗舰芯片,2020,USA
CH022,MediaTek Dimensity 9300,天玑9300,Chip,联发科旗舰移动SoC，全大核设计，4nm台积电制程,2023,Taiwan
CH023,MediaTek Dimensity 9200,天玑9200,Chip,联发科旗舰移动SoC，ARM Cortex-X3架构，4nm台积电制程,2022,Taiwan
CH024,HiSilicon Kirin 9000S,麒麟9000S,Chip,华为海思旗舰SoC，采用SMIC 7nm工艺，搭载Mate 60 Pro,2023,China
CH025,HiSilicon Kirin 9000,麒麟9000,Chip,华为海思旗舰SoC，台积电5nm工艺，集成5G基带,2020,China
CH026,Samsung Exynos 2400,Exynos 2400,Chip,三星旗舰移动SoC，10核CPU，采用三星4nm工艺,2023,South Korea
CH027,Samsung Exynos 2200,Exynos 2200,Chip,三星旗舰移动SoC，集成AMD RDNA2 GPU，4nm制程,2022,South Korea
CH028,Intel Core i9-12900K,酷睿i9-12900K,Chip,Intel第12代桌面旗舰处理器，首款混合架构处理器，16核心,2021,USA
P001,TSMC 3nm (N3),台积电3nm,ProcessNode,台积电第一代3nm工艺节点，采用FinFET架构，密度大幅提升,2022,Taiwan
P002,TSMC 4nm (N4),台积电4nm,ProcessNode,台积电4nm工艺节点，5nm工艺的改进版，提升性能与功耗效率,2021,Taiwan
P003,TSMC 5nm (N5),台积电5nm,ProcessNode,台积电第一代5nm工艺节点，采用EUV光刻，晶体管密度大幅提升,2020,Taiwan
P004,TSMC 7nm (N7),台积电7nm,ProcessNode,台积电7nm工艺节点，首款量产的7nm工艺，支持EUV部分层次,2018,Taiwan
P005,Intel 7,Intel 7nm,ProcessNode,Intel增强型10nm SuperFin工艺，重命名为Intel 7，用于第12/13代酷睿,2021,USA
